Pitch,
17.468,268.56
17.478,266.27
17.488,263.58
17.498,260.58
17.508,257.85
17.518,256.10
17.528,255.65
17.538,255.90
17.548,256.84
17.558,258.51
17.568,260.80
17.578,264.47
17.588,270.21
17.598,274.20
17.608,277.85
17.618,280.54
17.628,281.22
17.638,280.63
17.648,278.27
17.658,275.29
17.668,272.10
17.678,266.97
17.688,262.42
17.698,258.98
17.708,256.00
17.718,254.18
17.728,252.93
17.738,252.79
17.748,253.52
17.758,254.54
17.768,256.82
17.778,259.63
17.788,262.77
17.798,267.44
17.808,270.69
17.818,273.85
17.828,275.91
17.838,277.00
17.848,276.80
17.858,275.04
17.868,272.80
17.878,270.02
17.888,266.32
17.898,261.78
17.908,257.65
17.918,254.35
17.928,250.76
17.938,249.17
17.948,248.35
17.958,248.71
17.968,249.98
17.978,251.73
17.988,254.08
17.998,255.94
18.008,259.45
18.018,263.24
18.028,266.69
18.038,269.56
18.048,270.98
18.058,271.16
18.068,269.91
18.078,268.33
18.088,266.51
18.098,264.74
18.108,262.68
18.118,260.41
18.128,257.06
18.138,254.70
18.148,251.94
18.158,250.06
18.168,249.25
18.178,249.42
18.188,250.23
18.198,251.70
18.208,254.01
18.218,256.39
18.228,259.51
18.238,265.43
18.248,269.99
18.258,272.03
18.268,272.81
18.278,272.53
18.288,271.17
18.298,268.93
18.308,265.75
18.318,263.09
18.328,259.81
18.338,257.52
18.348,255.65
18.358,254.38
18.368,253.94
18.378,254.48
18.388,255.85
18.398,258.22
18.408,260.82
18.418,263.72
18.428,265.65
18.438,266.38
18.448,266.36
18.458,264.93
18.468,262.32
18.478,258.71
18.488,254.51
18.498,251.46
18.508,250.11
18.518,249.41
18.528,249.73
